models,accuracy,precision,recall,f1_score
bart-large-mnli,0.5509259259259259,0.5394762857349884,0.5509259259259259,0.5322924728443733
nli-distilroberta-base,0.4351851851851852,0.44927809388556345,0.4351851851851852,0.4132103859952647
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0.5694444444444444,0.5701361913881553,0.5694444444444444,0.5520134078561993





